,coef_
argument,-0.37564107798859714
at,0.7182533312694839
becam,-0.4615125138647059
caus,-0.04616542599113844
disput,-0.28421147749790016
face,-0.659415221235547
fled,0.1971166816323254
grab,-0.5930426425975718
her,-0.5230663958177776
hit,-0.15779048889705963
injuri,-0.46927682065993487
involv,-0.08376617273798637
loc,-0.2125442094127328
of,-0.02360232983425516
on,-0.12311778763729862
punch,-0.6897970728422819
push,-1.0366253450570408
struck,-0.18645041989142994
the,-0.0753222854243932
then,-0.009446754848925643
time,-0.049508722209739876
to,0.17898887033268288
unk,0.3727133705184167
verbal,-0.23513840863455457
was,0.08245331253721493
were,-0.020910762398154665
with,0.26794406150342437
